# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 1913745323191
#
# Children      Self  Command          Shared Object         Symbol                                           
# ........  ........  ...............  ....................  .................................................
#
     0.16%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_free_request
     0.16%     0.00%  postgres         [kernel.kallsyms]     [k] blk_mq_put_tag
     0.16%     0.00%  swapper          [kernel.kallsyms]     [k] nvme_complete_rq
     0.16%     0.12%  postgres         [kernel.kallsyms]     [k] __activate_page
     0.16%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] do_user_addr_fault
     0.16%     0.00%  swapper          [kernel.kallsyms]     [k] __softirqentry_text_start
     0.16%     0.00%  swapper          [kernel.kallsyms]     [k] blk_mq_end_request
     0.16%     0.01%  postgres         [kernel.kallsyms]     [k] task_work_run
     0.16%     0.01%  tclsh8.6         [kernel.kallsyms]     [k] schedule
     0.15%     0.00%  postgres         [kernel.kallsyms]     [k] __wake_up_common
     0.15%     0.00%  swapper          [kernel.kallsyms]     [k] blk_update_request
     0.15%     0.00%  postgres         [kernel.kallsyms]     [k] migrate_misplaced_page
     0.15%     0.08%  postgres         [kernel.kallsyms]     [k] select_task_rq_fair
     0.15%     0.02%  tclsh8.6         [kernel.kallsyms]     [k] __schedule
     0.14%     0.00%  swapper          [kernel.kallsyms]     [k] bio_endio
     0.14%     0.01%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_queue
     0.14%     0.01%  postgres         [kernel.kallsyms]     [k] migrate_pages
     0.14%     0.00%  swapper          [kernel.kallsyms]     [k] run_rebalance_domains
     0.14%     0.03%  tclsh8.6         [kernel.kallsyms]     [k] __handle_mm_fault
     0.14%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] handle_mm_fault
     0.14%     0.03%  postgres         [kernel.kallsyms]     [k] enqueue_task_fair
     0.14%     0.01%  swapper          [kernel.kallsyms]     [k] flush_smp_call_function_from_idle
     0.14%     0.05%  postgres         [kernel.kallsyms]     [k] kmem_cache_alloc
     0.14%     0.13%  postgres         [kernel.kallsyms]     [k] next_uptodate_page
     0.13%     0.01%  kcompactd1       [kernel.kallsyms]     [k] split_map_pages
     0.13%     0.00%  postgres         [kernel.kallsyms]     [k] __submit_bio
     0.13%     0.00%  postgres         [kernel.kallsyms]     [k] submit_bio
     0.13%     0.00%  postgres         [kernel.kallsyms]     [k] submit_bio_noacct
     0.13%     0.00%  swapper          [kernel.kallsyms]     [k] ttwu_do_activate
     0.13%     0.03%  postgres         [kernel.kallsyms]     [k] __mod_lruvec_state
     0.13%     0.07%  postgres         [kernel.kallsyms]     [k] update_load_avg
     0.13%     0.13%  kcompactd1       [kernel.kallsyms]     [k] _raw_spin_lock
     0.13%     0.00%  postgres         [kernel.kallsyms]     [k] psi_task_switch
     0.13%     0.01%  postgres         [kernel.kallsyms]     [k] get_futex_key
     0.13%     0.04%  postgres         [kernel.kallsyms]     [k] rmqueue_bulk
     0.12%     0.00%  postgres         [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.12%     0.00%  postgres         [kernel.kallsyms]     [k] __x64_sys_fdatasync
     0.12%     0.01%  postgres         [kernel.kallsyms]     [k] load_balance
     0.12%     0.01%  swapper          [kernel.kallsyms]     [k] enqueue_task
     0.12%     0.01%  postgres         [kernel.kallsyms]     [k] sock_def_readable
     0.12%     0.12%  kcompactd1       [kernel.kallsyms]     [k] clear_page_erms
     0.12%     0.00%  kcompactd1       [kernel.kallsyms]     [k] post_alloc_hook
     0.12%     0.00%  tclsh8.6         [kernel.kallsyms]     [k] schedule_hrtimeout_range_clock
