# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1357731480738
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.02%     0.00%  perf        [kernel.kallsyms]  [k] smp_call_function_single
     0.02%     0.02%  kcompactd1  [kernel.kallsyms]  [k] clear_page_erms
     0.02%     0.00%  kcompactd1  [kernel.kallsyms]  [k] post_alloc_hook
     0.02%     0.00%  kcompactd1  [kernel.kallsyms]  [k] split_map_pages
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] psi_group_change
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] psi_task_switch
     0.02%     0.02%  postgres    [kernel.kallsyms]  [k] __mod_node_page_state
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] mod_lruvec_page_state.constprop.0
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __wake_up
     0.02%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sock_def_readable
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] tlb_finish_mmu
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] do_writepages
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] ext4_writepages
     0.02%     0.00%  postgres    [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
