# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1584055210371
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_def_readable
     0.05%     0.05%  kcompactd0       [kernel.kallsyms]  [k] check_pte
     0.05%     0.03%  postgres         [kernel.kallsyms]  [k] __set_page_dirty_no_writeback
     0.05%     0.01%  postgres         [kernel.kallsyms]  [k] task_numa_fault
     0.05%     0.01%  postgres         [kernel.kallsyms]  [k] kmem_cache_free
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __sys_recvfrom
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk
     0.05%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk_anon
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.05%     0.00%  postgres         [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.04%     0.00%  swapper          [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.04%     0.00%  swapper          [kernel.kallsyms]  [k] blk_mq_end_request
