# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 861K of event 'cycles'
# Event count (approx.): 1583414822661
#
# Children      Self  Command          Shared Object                              Symbol                                                                                                                                                           
# ........  ........  ...............  .........................................  .................................................................................................................................................................
#
     0.00%     0.00%  GC Thread#2      libjvm.so                                  [.] _ZN20ClassLoaderDataGraph12roots_cld_doEP10CLDClosureS1_
     0.00%     0.00%  spark-listener-  [kernel.kallsyms]                          [k] irq_work_tick
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] find_busiest_queue
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] acpi_os_read_memory
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __ghes_peek_estatus.isra.0
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] apei_read
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] ghes_poll_func
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] ghes_proc
     0.00%     0.00%  G1 Refine#9      [kernel.kallsyms]                          [k] pick_next_entity
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58c0dec1
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58d082dd
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc587202a0
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] generic_exec_single
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] smp_call_function_single_async
     0.00%     0.00%  GC Thread#6      libjvm.so                                  [.] _ZN11SymbolTable14buckets_unlinkEiiPN14BasicHashtableIL10MemoryType9EE19BucketUnlinkContextE
     0.00%     0.00%  Reference Handl  [kernel.kallsyms]                          [k] ttwu_do_activate
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5872121c
     0.00%     0.00%  GC Thread#0      libjvm.so                                  [.] _ZN6Thread10muxReleaseEPVl
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] _find_first_bit
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] group_balance_cpu
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] update_sg_lb_stats
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] find_busiest_group
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] switch_fpu_return
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]                          [k] first_online_pgdat
     0.00%     0.00%  GC Thread#6      libjvm.so                                  [.] _ZN6Thread10muxReleaseEPVl
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b9975
     0.00%     0.00%  task-result-get  [kernel.kallsyms]                          [k] update_rq_clock_task
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] update_pvclock_gtod
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] pvclock_gtod_notify
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] raw_notifier_call_chain
     0.00%     0.00%  Executor task l  [kernel.kallsyms]                          [k] dma_unmap_page_attrs
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] set_next_entity
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                          [k] __kmalloc_node
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] tcp_established_options
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] blkcg_iolatency_done_bio
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] __rq_qos_done_bio
     0.00%     0.00%  swapper          [kernel.kallsyms]                          [k] bio_endio
     0.00%     0.00%  G1 Conc#5        libpthread-2.28.so                         [.] __pthread_disable_asynccancel
     0.00%     0.00%  GC Thread#2      libjvm.so                                  [.] _ZN16StackFrameStreamC2EP10JavaThreadb
     0.00%     0.00%  VM Thread        libjvm.so                                  [.] _ZN14RuntimeService29record_safepoint_synchronizedEv
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594dc643
     0.00%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] __radix_tree_lookup
     0.00%     0.00%  kworker/8:1H-kb  [kernel.kallsyms]                          [k] process_one_work
     0.00%     0.00%  GC Thread#19     [kernel.kallsyms]                          [k] __get_user_nocheck_4
     0.00%     0.00%  G1 Conc#4        [kernel.kallsyms]                          [k] delay_halt.part.0
     0.00%     0.00%  GC Thread#0      [kernel.kallsyms]                          [k] flush_smp_call_function_queue
     0.00%     0.00%  G1 Refine#20     [kernel.kallsyms]                          [k] update_sd_pick_busiest
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58804e5f
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd6dbf
     0.00%     0.00%  migration/11     [kernel.kallsyms]                          [k] enqueue_entity
     0.00%     0.00%  migration/11     [kernel.kallsyms]                          [k] cpu_stopper_thread
     0.00%     0.00%  migration/11     [kernel.kallsyms]                          [k] enqueue_task_fair
     0.00%     0.00%  migration/11     [kernel.kallsyms]                          [k] migration_cpu_stop
     0.00%     0.00%  migration/11     [kernel.kallsyms]                          [k] move_queued_task
     0.00%     0.00%  G1 Young RemSet  [kernel.kallsyms]                          [k] update_rq_clock
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] put_dec_full8
     0.00%     0.00%  top              [kernel.kallsyms]                          [k] put_dec
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                          [k] __x64_sys_poll
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                          [k] do_poll.constprop.0
     0.00%     0.00%  irqbalance       [kernel.kallsyms]                          [k] do_sys_poll
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] cpumask_next
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc595b97fd
     0.00%     0.00%  G1 Refine#8      [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.00%     0.00%  driver-heartbea  [kernel.kallsyms]                          [k] __x64_sys_futex
     0.00%     0.00%  driver-heartbea  [kernel.kallsyms]                          [k] do_futex
     0.00%     0.00%  driver-heartbea  [kernel.kallsyms]                          [k] do_syscall_64
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] ktime_get
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]                          [k] blk_mq_start_request
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5952ba13
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] cgroup_rstat_updated
     0.00%     0.00%  sshd             [kernel.kallsyms]                          [k] __cgroup_account_cputime
     0.00%     0.00%  GC Thread#19     libjvm.so                                  [.] _ZN30OopOopIterateBackwardsDispatchI25G1ScanEvacuatedObjClosureE5Table25oop_oop_iterate_backwardsI14TypeArrayKlassP7oopDescEEvPS0_S6_P5Klass
     0.00%     0.00%  kcompactd0       [kernel.kallsyms]                          [k] __buffer_migrate_page.part.0
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] note_gp_changes
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] rcu_core
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594dc2df
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594dc407
     0.00%     0.00%  GC Thread#2      [kernel.kallsyms]                          [k] raw_spin_rq_lock_nested
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5954f341
     0.00%     0.00%  G1 Refine#7      [kernel.kallsyms]                          [k] native_smp_send_reschedule
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd74d2
     0.00%     0.00%  G1 Conc#0        [kernel.kallsyms]                          [k] __mod_timer
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc58cd7033
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5904b7d8
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] __list_add_valid
     0.00%     0.00%  dispatcher-even  libjvm.so                                  [.] _ZN7Monitor28lock_without_safepoint_checkEv
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc5871ffed
     0.00%     0.00%  GC Thread#14     libjvm.so                                  [.] _ZN11G1CardTable18mark_card_deferredEm
     0.00%     0.00%  G1 Refine#11     libjvm.so                                  [.] _ZN18G1ConcurrentRefine18do_refinement_stepEj
     0.00%     0.00%  GC Thread#14     [kernel.kallsyms]                          [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  GC Thread#3      [kernel.kallsyms]                          [k] do_sync_core
     0.00%     0.00%  G1 Refine#4      [kernel.kallsyms]                          [k] native_queued_spin_lock_slowpath
     0.00%     0.00%  kworker/9:1-mm_  [kernel.kallsyms]                          [k] kthread_data
     0.00%     0.00%  kworker/9:1-mm_  [kernel.kallsyms]                          [k] wq_worker_running
     0.00%     0.00%  Executor task l  [JIT] tid 1529                             [.] 0x00007fdc594ec4a1
     0.00%     0.00%  GC Thread#17     [kernel.kallsyms]                          [k] update_dl_rq_load_avg
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] native_flush_tlb_one_user
     0.00%     0.00%  GC Thread#15     [kernel.kallsyms]                          [k] flush_tlb_one_kernel
     0.00%     0.00%  G1 Refine#19     libjvm.so                                  [.] _ZN28OopOopIterateBoundedDispatchI28G1ConcurrentRefineOopClosureE5Table23oop_oop_iterate_boundedI13ObjArrayKlassP7oopDescEEvPS0_S6_P5Klass9MemRegion
     0.00%     0.00%  GC Thread#4      [kernel.kallsyms]                          [k] syscall_trace_enter.constprop.0
     0.00%     0.00%  dispatcher-even  [kernel.kallsyms]                          [k] ktime_get
     0.00%     0.00%  kworker/0:2-mm_  [kernel.kallsyms]                          [k] __list_del_entry_valid
     0.00%     0.00%  GC Thread#5      [kernel.kallsyms]                          [k] irqentry_exit
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] ktime_get_coarse_real_ts64
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] get_futex_key
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] perf_swevent_start
     0.00%     0.00%  G1 Refine#0      [kernel.kallsyms]                          [k] irqentry_exit
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] llist_add_batch
     0.00%     0.00%  G1 Refine#16     [kernel.kallsyms]                          [k] __smp_call_single_queue
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] update_sg_lb_stats
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] balance_fair
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] find_busiest_group
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] load_balance
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] newidle_balance
     0.00%     0.00%  migration/10     [kernel.kallsyms]                          [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  kworker/0:2-mm_  [kernel.kallsyms]                          [k] strscpy
     0.00%     0.00%  G1 Conc#3        [kernel.kallsyms]                          [k] raise_softirq
     0.00%     0.00%  GC Thread#16     [kernel.kallsyms]                          [k] resched_curr
