# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     0.23%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __mod_lruvec_state
     0.22%     0.00%  kcompactd0       [kernel.kallsyms]                                 [k] migrate_page_copy
     0.22%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] ext4_es_lookup_extent
     0.22%     0.22%  kcompactd0       [kernel.kallsyms]                                 [k] copy_page
     0.22%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] alloc_pages
     0.22%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] mpage_map_and_submit_buffers
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] wb_workfn
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] wb_do_writeback
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] wb_writeback
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] __writeback_inodes_wb
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] __writeback_single_inode
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] do_writepages
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] ext4_writepages
     0.22%     0.00%  kworker/u64:10-  [kernel.kallsyms]                                 [k] writeback_sb_inodes
     0.22%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] nvme_pci_complete_rq
     0.22%     0.00%  swapper          [kernel.kallsyms]                                 [k] __irq_exit_rcu
     0.21%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] timerqueue_add
     0.21%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] ___slab_alloc
     0.21%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] lookup_fast
     0.21%     0.13%  Executor task l  [kernel.kallsyms]                                 [k] __audit_syscall_exit
     0.21%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     0.21%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] ext4_do_flush_completed_IO.isra.0
     0.21%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] wb_check_old_data_flush
     0.21%     0.00%  G1 Refine#0      [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     0.21%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] rebalance_domains
     0.21%     0.00%  swapper          [kernel.kallsyms]                                 [k] __softirqentry_text_start
     0.21%     0.04%  Executor task l  [kernel.kallsyms]                                 [k] lock_page_lruvec_irqsave
     0.21%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] __d_lookup_rcu
     0.20%     0.00%  kworker/u64:12-  [kernel.kallsyms]                                 [k] ext4_release_io_end
     0.20%     0.07%  kworker/u64:12-  [kernel.kallsyms]                                 [k] ext4_finish_bio
     0.20%     0.20%  Executor task l  [kernel.kallsyms]                                 [k] tick_program_event
